                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0158,                  3.008,                 2.8561,                 1.3786,                0.13433,                 0.1544,                0.04601,                0.01587,                0.12666,                0.13028,                0.03486,                0.01033,                 2.5743,                  7.044,                 16.672,                 2.0429,             0.00023557,             0.00023557,             0.00023557
                      2,                 1.9915,                 2.8235,                 1.9844,                 1.3438,                0.22351,                0.17967,                0.12183,                0.04592,                0.22313,                0.17681,                0.11557,                0.03574,                 2.4205,                 4.0729,                 26.585,                 2.1333,             0.00047123,             0.00047123,             0.00047123
                      3,                 2.0056,                 2.7877,                 1.8888,                 1.3752,                0.03742,                0.07492,                0.00779,                0.00268,                0.03586,                0.06657,                0.00624,                 0.0018,                 2.8361,                 12.457,                   33.6,                 2.4626,             0.00070453,             0.00070453,             0.00070453
                      4,                 2.0198,                 2.8248,                 1.9088,                 1.4049,                0.25234,                0.12312,                0.08806,                 0.0289,                0.26011,                0.12026,                0.07887,                0.02242,                 2.7741,                 4.2562,                  5.187,                 2.1338,              0.0007034,              0.0007034,              0.0007034
                      5,                 1.9494,                 2.6479,                 1.8248,                  1.365,                0.16576,                0.16034,                0.06336,                0.02509,                0.16434,                 0.1582,                0.06507,                0.02225,                 2.4609,                 3.7339,                 6.4446,                 1.9972,             0.00069986,             0.00069986,             0.00069986
                      6,                 1.8703,                 2.5679,                 1.7032,                 1.3376,                0.34407,                0.20759,                0.17085,                0.06371,                0.34523,                0.20401,                0.16967,                 0.0633,                 2.5131,                 3.6841,                 5.4637,                 2.1188,             0.00069633,             0.00069633,             0.00069633
                      7,                 1.7498,                 2.5054,                 1.5307,                 1.2749,                0.31275,                0.16965,                0.14001,                0.05933,                0.28971,                 0.1582,                0.12446,                0.04779,                   2.49,                  3.649,                 3.4102,                 1.9743,             0.00069279,             0.00069279,             0.00069279
                      8,                 1.7276,                 2.4775,                 1.5155,                 1.3019,                0.37002,                  0.251,                0.21416,                 0.0903,                0.34049,                0.25197,                0.20224,                0.07431,                 2.3113,                 3.2515,                 3.0053,                 1.8672,             0.00068926,             0.00068926,             0.00068926
                      9,                  1.701,                 2.4636,                 1.4389,                 1.2871,                0.44118,                0.25318,                0.22524,                0.09363,                0.41567,                0.24492,                0.21124,                0.07535,                 2.2183,                 3.2223,                 2.5811,                 1.8097,             0.00068573,             0.00068573,             0.00068573
                     10,                 1.6595,                 2.3723,                 1.3814,                 1.2607,                0.42866,                0.27058,                 0.2412,                0.10127,                0.41095,                0.25841,                0.22259,                0.08008,                 2.1692,                 3.0915,                 2.5597,                 1.7881,             0.00068219,             0.00068219,             0.00068219
                     11,                 1.5981,                 2.3124,                 1.3858,                 1.2548,                0.36856,                0.26557,                0.22928,                0.09662,                0.36978,                0.25626,                0.21818,                0.08429,                 2.2558,                 3.1547,                 2.6061,                 1.8438,             0.00067866,             0.00067866,             0.00067866
                     12,                 1.5474,                 2.2754,                 1.3035,                 1.2152,                0.37449,                 0.2577,                0.21803,                0.09007,                0.37639,                0.26052,                0.21226,                0.07798,                 2.2285,                 3.0802,                 3.0413,                 1.8183,             0.00067512,             0.00067512,             0.00067512
                     13,                  1.499,                 2.1619,                 1.2642,                 1.1939,                 0.3901,                0.28848,                0.23334,                0.09661,                0.39204,                0.28991,                0.23118,                0.08567,                  2.149,                 3.0113,                 3.4353,                 1.7932,             0.00067159,             0.00067159,             0.00067159
                     14,                 1.5289,                 2.2316,                 1.2552,                 1.1941,                0.40268,                0.27559,                0.24215,                0.10537,                0.41758,                0.27344,                0.23748,                0.09432,                 2.1389,                 3.0982,                 2.7075,                  1.791,             0.00066805,             0.00066805,             0.00066805
                     15,                 1.5196,                 2.1776,                 1.2568,                 1.2032,                0.47248,                0.26986,                0.27654,                 0.1239,                0.46099,                0.26557,                0.26472,                0.10958,                 2.1596,                 2.9849,                 2.4059,                 1.8018,             0.00066452,             0.00066452,             0.00066452
                     16,                 1.4652,                 2.1095,                 1.1959,                 1.1869,                0.41981,                0.22334,                0.21408,                0.09873,                0.43582,                0.22334,                0.21136,                0.08728,                 2.2604,                 3.2028,                 3.2186,                  1.848,             0.00066099,             0.00066099,             0.00066099
                     17,                  1.437,                 2.1345,                 1.1713,                 1.1677,                 0.3962,                0.30852,                0.25948,                0.10818,                0.37515,                0.29349,                0.23764,                0.08885,                 2.1397,                 2.9374,                 2.5739,                 1.7847,             0.00065745,             0.00065745,             0.00065745
                     18,                 1.4695,                 2.1257,                 1.1871,                 1.1881,                0.47005,                0.26485,                0.28035,                0.12029,                0.47555,                0.27774,                0.28316,                0.11342,                 2.1676,                 2.9909,                 2.4668,                 1.7828,             0.00065392,             0.00065392,             0.00065392
                     19,                 1.4458,                 2.0705,                 1.1465,                  1.151,                0.42272,                0.28633,                0.25449,                0.10479,                0.42277,                0.28132,                0.24544,                 0.0947,                 2.1484,                 2.9802,                 2.3708,                 1.7474,             0.00065038,             0.00065038,             0.00065038
                     20,                 1.3961,                 2.0204,                 1.1044,                 1.1349,                0.36594,                0.31711,                0.26304,                0.11369,                0.40551,                0.30565,                 0.2646,                0.10783,                 2.1303,                 3.0344,                 2.9468,                 1.7412,             0.00064685,             0.00064685,             0.00064685
                     21,                 1.3989,                 2.0829,                 1.1313,                 1.1595,                0.45709,                0.32427,                0.30343,                0.13082,                0.44763,                0.32136,                0.28955,                0.11855,                 2.0942,                 2.8848,                 2.1115,                  1.718,             0.00064331,             0.00064331,             0.00064331
                     22,                 1.3942,                 1.9965,                 1.1427,                 1.1687,                0.41145,                0.28825,                 0.2723,                 0.1163,                0.42901,                0.29277,                0.27057,                0.10512,                 2.1318,                 2.9594,                 2.2649,                   1.74,             0.00063978,             0.00063978,             0.00063978
                     23,                 1.3595,                 2.0044,                 1.0731,                 1.1438,                0.45818,                0.29781,                0.30261,                0.12807,                0.43777,                0.29763,                0.27786,                0.10798,                 2.0478,                 2.9475,                 2.1373,                 1.7394,             0.00063625,             0.00063625,             0.00063625
                     24,                 1.4094,                 1.9852,                 1.0999,                 1.1523,                0.45894,                0.30136,                0.29429,                0.13629,                0.47696,                0.28786,                0.28367,                0.11823,                 2.0719,                 2.8986,                 2.4814,                 1.7129,             0.00063271,             0.00063271,             0.00063271
                     25,                 1.3896,                 2.0805,                 1.0952,                  1.185,                0.52884,                0.29165,                 0.2994,                0.13979,                0.50235,                0.28275,                0.28326,                  0.119,                 2.0729,                 2.9599,                 2.3155,                 1.7515,             0.00062918,             0.00062918,             0.00062918
                     26,                 1.3083,                 1.8897,                 1.0395,                 1.1009,                0.45293,                0.33142,                0.30942,                0.13715,                0.46771,                0.30995,                0.29899,                0.11765,                 2.0623,                 2.8784,                 2.1208,                 1.7311,             0.00062564,             0.00062564,             0.00062564
                     27,                 1.3464,                 1.9743,                 1.0967,                 1.1501,                0.44929,                0.32641,                 0.2921,                0.13257,                0.45953,                0.32427,                0.29393,                0.11946,                 2.0659,                 2.8544,                  2.408,                 1.7455,             0.00062211,             0.00062211,             0.00062211
                     28,                 1.3207,                 1.9269,                 1.0418,                 1.1217,                0.40014,                0.30637,                0.25673,                0.11134,                0.42361,                0.30136,                0.25641,                0.09786,                 2.1202,                 2.9877,                  2.472,                 1.7787,             0.00061857,             0.00061857,             0.00061857
                     29,                 1.3008,                 1.9207,                  1.038,                 1.1433,                0.44766,                0.34574,                0.32102,                 0.1407,                 0.4277,                  0.335,                0.30457,                0.12193,                 2.0763,                 2.8703,                 2.4705,                 1.7393,             0.00061504,             0.00061504,             0.00061504
                     30,                 1.2965,                 1.9124,                 1.0387,                  1.125,                0.49081,                0.30422,                0.31841,                0.13868,                0.51582,                0.29778,                0.31025,                 0.1239,                 2.0893,                 2.8561,                 2.0783,                 1.7506,             0.00061151,             0.00061151,             0.00061151
                     31,                 1.2891,                 1.9226,                 1.0355,                 1.1334,                0.46473,                0.32752,                0.31284,                0.13804,                  0.454,                 0.3214,                0.30488,                0.12127,                 2.1053,                  2.894,                 2.6582,                  1.737,             0.00060797,             0.00060797,             0.00060797
                     32,                 1.2828,                 1.8694,                 0.9951,                 1.1019,                0.45069,                0.31353,                0.30147,                0.13305,                 0.4343,                0.30494,                0.28136,                0.11619,                 2.1006,                 2.8872,                 2.3304,                 1.7186,             0.00060444,             0.00060444,             0.00060444
                     33,                 1.2427,                 1.8047,                0.98458,                 1.1059,                0.47235,                0.28964,                0.29535,                0.13235,                0.47423,                0.27957,                0.28293,                0.11688,                 2.1031,                 2.9035,                 2.3985,                 1.7303,              0.0006009,              0.0006009,              0.0006009
                     34,                 1.2695,                 1.8375,                0.99298,                 1.1122,                0.46085,                0.34932,                 0.3418,                 0.1557,                0.45823,                0.35791,                0.34536,                0.13674,                  2.029,                 2.8116,                 2.0025,                 1.6861,             0.00059737,             0.00059737,             0.00059737
                     35,                 1.2406,                 1.8041,                0.99367,                  1.093,                0.48415,                0.34646,                 0.3443,                0.15216,                0.48904,                0.34932,                 0.3459,                0.13856,                 2.0257,                 2.7702,                 2.0694,                 1.6797,             0.00059383,             0.00059383,             0.00059383
                     36,                 1.2734,                 1.8661,                 1.0203,                 1.1302,                0.48291,                0.34145,                0.33093,                0.15061,                0.48727,                0.33142,                0.31678,                0.12511,                 2.0137,                 2.7544,                 2.1269,                  1.667,              0.0005903,              0.0005903,              0.0005903
                     37,                 1.2057,                 1.7694,                0.96298,                 1.0808,                0.49521,                 0.3778,                0.34615,                0.15432,                0.47926,                0.36762,                0.32392,                0.12828,                 2.0174,                 2.9014,                 2.1827,                 1.6862,             0.00058677,             0.00058677,             0.00058677
                     38,                 1.2353,                 1.8365,                0.98206,                 1.1102,                0.50973,                0.34431,                0.34882,                0.15326,                 0.4983,                0.33557,                0.33625,                0.13584,                 2.0123,                 2.7643,                 1.9459,                 1.6816,             0.00058323,             0.00058323,             0.00058323
                     39,                 1.2536,                  1.838,                0.99393,                 1.1156,                 0.4936,                0.33858,                0.35042,                0.15615,                0.53375,                0.33024,                0.34382,                0.13389,                 2.0389,                 2.8085,                 2.1314,                 1.7286,              0.0005797,              0.0005797,              0.0005797
                     40,                 1.1809,                 1.7278,                0.93006,                 1.0762,                0.46899,                0.36149,                0.36623,                0.16628,                0.46768,                0.35848,                0.35343,                 0.1456,                 2.0017,                 2.7522,                 1.9933,                 1.6623,             0.00057616,             0.00057616,             0.00057616
                     41,                 1.1708,                 1.7639,                 0.9251,                 1.0888,                0.52986,                0.36364,                0.36037,                0.15677,                0.51943,                0.35513,                 0.3502,                0.14103,                 2.0256,                 2.8131,                 2.2277,                 1.6986,             0.00057263,             0.00057263,             0.00057263
                     42,                 1.1683,                 1.7511,                0.91366,                 1.0745,                0.42222,                0.36983,                 0.3222,                0.13876,                0.43198,                0.35361,                 0.3066,                0.11815,                  2.083,                 2.9435,                 2.1076,                 1.7106,             0.00056909,             0.00056909,             0.00056909
                     43,                 1.1562,                 1.7046,                0.90803,                 1.0798,                0.48941,                0.36006,                0.34786,                0.15689,                 0.4823,                0.34001,                0.32684,                 0.1335,                 1.9449,                 2.7141,                 2.1861,                 1.6406,             0.00056556,             0.00056556,             0.00056556
                     44,                 1.1799,                 1.7158,                0.92436,                 1.0841,                 0.4668,                0.37724,                0.35397,                0.15399,                0.47719,                0.37008,                0.34552,                0.13959,                 2.0186,                 2.7392,                 2.6302,                 1.6742,             0.00056203,             0.00056203,             0.00056203
                     45,                 1.1627,                 1.7106,                0.92215,                 1.0866,                0.50198,                0.35218,                0.35417,                0.15905,                0.49923,                 0.3486,                0.33973,                 0.1391,                  2.052,                 2.8122,                 2.0552,                 1.6612,             0.00055849,             0.00055849,             0.00055849
                     46,                 1.1803,                 1.7396,                0.92347,                 1.0682,                 0.4773,                0.36292,                0.36688,                0.16831,                0.48279,                0.35281,                0.35577,                0.14525,                 1.9794,                 2.7725,                 1.9356,                 1.6578,             0.00055496,             0.00055496,             0.00055496
                     47,                 1.1819,                 1.7032,                0.91677,                 1.0736,                0.50137,                0.35719,                0.36022,                 0.1616,                0.52568,                  0.335,                0.34412,                0.13653,                 2.0467,                  2.742,                 1.9482,                 1.6717,             0.00055142,             0.00055142,             0.00055142
                     48,                 1.1684,                 1.7431,                0.92761,                 1.0809,                0.51886,                0.34574,                0.34347,                0.15652,                  0.519,                  0.335,                0.32435,                0.13004,                 1.9986,                 2.7565,                 2.0204,                 1.6615,             0.00054789,             0.00054789,             0.00054789
                     49,                 1.1508,                 1.7337,                0.88437,                 1.0703,                0.54378,                0.36722,                0.38185,                0.17572,                0.54529,                0.35648,                0.36954,                0.14893,                 2.0532,                 2.8357,                 2.1104,                 1.6758,             0.00054435,             0.00054435,             0.00054435
                     50,                 1.1511,                 1.7007,                0.92703,                 1.0931,                0.50414,                  0.398,                0.38652,                 0.1721,                 0.4996,                0.39442,                0.36916,                0.14987,                 2.0277,                 2.7377,                 2.1501,                 1.6562,             0.00054082,             0.00054082,             0.00054082
                     51,                 1.1425,                 1.6914,                0.88204,                 1.0662,                0.50867,                0.39298,                0.39498,                0.18405,                0.50555,                0.38511,                0.37625,                0.14979,                 1.9588,                 2.6971,                 1.9189,                 1.6112,             0.00053728,             0.00053728,             0.00053728
                     52,                  1.158,                 1.7009,                0.90488,                 1.0771,                0.50354,                0.36722,                0.37349,                0.16672,                0.50179,                 0.3622,                0.36428,                0.14731,                 2.0161,                 2.6873,                 2.1565,                 1.6439,             0.00053375,             0.00053375,             0.00053375
                     53,                 1.1319,                 1.7271,                0.89795,                 1.0757,                0.52195,                0.39077,                0.38689,                 0.1736,                0.51065,                0.38797,                0.37056,                0.14361,                 1.9661,                 2.7094,                 1.9075,                 1.6667,             0.00053022,             0.00053022,             0.00053022
                     54,                   1.11,                 1.6704,                0.86516,                 1.0598,                0.48879,                0.37366,                0.37604,                0.16732,                0.50182,                0.36793,                0.35954,                0.14452,                 2.0011,                   2.75,                 2.0137,                  1.652,             0.00052668,             0.00052668,             0.00052668
                     55,                 1.1754,                 1.7295,                0.93427,                 1.0912,                0.51871,                0.36077,                0.37563,                0.16428,                0.51864,                0.34073,                0.35042,                0.14209,                 2.0043,                 2.7061,                 1.9213,                  1.651,             0.00052315,             0.00052315,             0.00052315
                     56,                 1.1283,                 1.6622,                0.88584,                 1.0739,                0.49333,                0.41121,                0.40289,                0.18211,                0.47945,                0.38869,                0.37918,                0.15566,                 1.9965,                  2.663,                 2.0427,                 1.6366,             0.00051961,             0.00051961,             0.00051961
                     57,                 1.0857,                 1.6125,                0.82974,                 1.0359,                0.51493,                0.35505,                0.37323,                0.17132,                0.50481,                0.35246,                0.35606,                0.14608,                 1.9913,                 2.7281,                 2.0229,                 1.6387,             0.00051608,             0.00051608,             0.00051608
                     58,                  1.072,                 1.5789,                0.84138,                 1.0489,                0.52595,                0.36364,                0.36409,                0.16155,                0.50735,                0.35576,                0.34557,                 0.1421,                 2.0195,                 2.8063,                 2.0444,                 1.6661,             0.00051254,             0.00051254,             0.00051254
                     59,                 1.1031,                 1.6444,                 0.8585,                 1.0646,                0.49067,                0.37867,                0.37568,                0.17194,                0.51555,                0.36108,                0.36141,                0.14776,                 1.9778,                 2.7233,                 2.2327,                 1.6178,             0.00050901,             0.00050901,             0.00050901
                     60,                 1.1125,                 1.6266,                0.86495,                 1.0589,                0.50807,                0.37795,                0.37974,                0.16745,                0.51593,                0.36435,                0.36501,                0.14582,                 1.9878,                 2.6836,                 2.0887,                 1.6453,             0.00050548,             0.00050548,             0.00050548
                     61,                  1.112,                 1.6726,                 0.8594,                 1.0608,                0.50331,                0.37581,                0.38107,                0.16662,                0.50877,                0.36507,                0.35706,                0.14303,                 1.9804,                 2.7673,                 2.0628,                 1.6553,             0.00050194,             0.00050194,             0.00050194
