                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2154,                  3.838,                 6.0941,                 1.5114,                0.00279,                0.53185,                0.01612,                 0.0069,                0.00267,                0.50895,                0.02025,                0.00762,                 2.0538,                 3.2206,                 4.6998,                  1.417,             0.00017136,             0.00017136,             0.00017136
                      2,                 2.0486,                 2.9032,                 4.5705,                 1.2932,                0.00256,                0.48747,                 0.0287,                0.01221,                0.00252,                 0.4796,                 0.0283,                0.01113,                  2.051,                 3.1877,                 4.7287,                 1.5644,             0.00034293,             0.00034293,             0.00034293
                      3,                 2.0194,                 2.8935,                 3.6261,                 1.3034,                0.00263,                0.50179,                0.00985,                0.00374,                0.00247,                0.47173,                 0.0102,                0.00236,                  2.255,                 3.8319,                 4.8509,                 1.6065,             0.00050744,             0.00050744,             0.00050744
                      4,                 2.0179,                 2.8892,                 3.2354,                  1.328,                0.00751,                0.15605,                0.00258,                  0.001,                0.00679,                0.09807,                0.00193,                0.00068,                  2.217,                 3.9949,                    inf,                 1.7792,             0.00066487,             0.00066487,             0.00066487
                      5,                 2.0589,                 2.8981,                 3.0005,                 1.3337,                0.31334,                0.16392,                0.14002,                0.05706,                0.32685,                0.16301,                0.13558,                 0.0554,                 2.1635,                  3.531,                 3.1858,                  1.622,             0.00065745,             0.00065745,             0.00065745
                      6,                 2.0015,                 2.7957,                 2.7363,                 1.3071,                0.34443,                 0.2398,                0.21021,                0.07966,                0.34705,                0.23475,                0.20156,                0.07161,                 2.1896,                 4.0362,                 2.8686,                 1.5191,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.9433,                 2.7001,                 2.4556,                 1.2833,                0.39341,                0.25913,                0.25119,                0.10355,                0.37426,                0.26056,                0.24181,                0.09149,                 2.0909,                 3.0945,                 2.5378,                 1.4545,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.8694,                 2.6239,                 2.2632,                 1.2569,                0.39496,                0.24409,                0.23991,                0.10294,                0.39431,                0.24052,                0.23441,                0.09083,                 2.0675,                 3.1925,                 2.4073,                 1.4539,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.8911,                 2.6585,                 2.1707,                  1.263,                0.35306,                 0.2398,                0.20417,                0.09427,                0.34948,                0.23536,                0.19799,                0.08475,                 2.0567,                 3.0755,                 2.4822,                 1.5333,              0.0006009,              0.0006009,              0.0006009
                     10,                 1.8944,                 2.6136,                   2.05,                 1.2561,                 0.4037,                0.28776,                0.27693,                0.12255,                0.40814,                0.28776,                0.27444,                0.10724,                 2.0287,                 2.8895,                 2.3532,                 1.4439,             0.00058677,             0.00058677,             0.00058677
