file,best_epoch,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
v11_200_l.csv,200,1.3546,1.8804,0.9872,1.2656,0.54716,0.43158,0.43604,0.20297,0.54971,0.42295,0.42665,0.17638,2.0357,2.821,1.8277,1.7162,1.0674e-05,1.0674e-05,1.0674e-05
v11_200_m.csv,146,0.84991,1.2521,0.59887,0.94107,0.53098,0.45455,0.4502,0.21456,0.52867,0.44238,0.43044,0.1828,1.9429,2.9357,1.668,1.5507,0.00020153,0.00020153,0.00020153
v11_200_n.csv,194,1.4316,2.0455,1.0734,1.1254,0.55979,0.42949,0.43702,0.20062,0.54007,0.41518,0.4211,0.18025,1.9354,2.934,1.6917,1.3796,3.188e-05,3.188e-05,3.188e-05
v11_200_s.csv,165,0.97501,1.3952,0.66466,0.93076,0.55764,0.45168,0.45746,0.2105,0.54902,0.44524,0.44097,0.18591,1.9771,3.0412,1.6512,1.4591,0.00013437,0.00013437,0.00013437
v11_200_x.csv,200,1.2951,1.8482,0.93471,1.2679,0.55847,0.42878,0.44666,0.20248,0.59515,0.40515,0.43208,0.18033,1.9714,2.9239,1.6838,1.7338,1.0674e-05,1.0674e-05,1.0674e-05
v11_50_l.csv,50,1.6156,2.271,1.3114,1.4162,0.55059,0.45455,0.458,0.21751,0.54527,0.44882,0.44783,0.18759,1.8601,2.5249,1.7539,1.5295,2.1277e-05,2.1277e-05,2.1277e-05
v11_50_m.csv,49,1.6281,2.3135,1.3474,1.3482,0.58687,0.40802,0.45947,0.21721,0.58687,0.40802,0.44598,0.18683,1.894,2.6878,1.6368,1.485,3.5414e-05,3.5414e-05,3.5414e-05
v11_50_n.csv,49,1.6439,2.3509,1.3874,1.2173,0.54128,0.42316,0.45898,0.21117,0.52885,0.42591,0.44752,0.18537,1.8397,2.6576,1.6236,1.3084,3.5414e-05,3.5414e-05,3.5414e-05
v11_50_s.csv,45,1.6943,2.3589,1.4174,1.3393,0.55484,0.4388,0.45772,0.21888,0.59709,0.41088,0.45604,0.19639,1.8297,2.6195,1.5991,1.3776,9.1963e-05,9.1963e-05,9.1963e-05
v11_50_x.csv,50,1.6769,2.3667,1.4348,1.4913,0.56059,0.41643,0.44013,0.20873,0.59419,0.398,0.43426,0.18134,1.7544,2.4397,1.9289,1.4883,2.1277e-05,2.1277e-05,2.1277e-05
v8_200_l.csv,168,0.64149,0.96506,0.42371,0.87217,0.51616,0.4252,0.43009,0.20117,0.54679,0.40418,0.41987,0.17721,2.02,2.8957,1.7929,1.6373,0.00012377,0.00012377,0.00012377
v8_200_m.csv,111,0.88536,1.3057,0.60782,0.93756,0.52239,0.45383,0.45186,0.20765,0.5582,0.43683,0.44702,0.18115,1.9561,2.8641,1.6733,1.54,0.00032523,0.00032523,0.00032523
v8_200_n.csv,155,1.0699,1.5889,0.75747,0.95135,0.52648,0.40908,0.43013,0.20031,0.52069,0.39943,0.41392,0.17944,1.9677,2.9013,1.6907,1.3947,0.00016972,0.00016972,0.00016972
v8_200_s.csv,153,0.96569,1.3797,0.63407,0.93124,0.58823,0.40444,0.4375,0.20616,0.58802,0.4073,0.42308,0.17997,1.966,2.959,1.7246,1.4484,0.00017679,0.00017679,0.00017679
v8_200_x.csv,138,0.70629,1.0405,0.4893,0.90941,0.5403,0.4345,0.43908,0.20331,0.56374,0.42364,0.43469,0.17956,1.8378,2.6107,2.0964,1.4894,0.0002298,0.0002298,0.0002298
v8_50_l.csv,50,1.4879,2.1266,1.1735,1.3083,0.53966,0.45884,0.46884,0.22223,0.57475,0.4388,0.46149,0.19798,1.8562,2.6231,1.6775,1.5207,2.1277e-05,2.1277e-05,2.1277e-05
v8_50_m.csv,50,1.4656,2.1298,1.1568,1.2521,0.57731,0.44094,0.4757,0.22638,0.57827,0.44168,0.4612,0.1926,1.8845,2.7746,1.6015,1.487,2.1277e-05,2.1277e-05,2.1277e-05
v8_50_n.csv,50,1.5969,2.3018,1.3541,1.2147,0.5689,0.41732,0.4451,0.21306,0.57073,0.40587,0.43748,0.18918,1.828,2.6191,1.6318,1.3121,2.1277e-05,2.1277e-05,2.1277e-05
v8_50_s.csv,46,1.5751,2.261,1.2777,1.2132,0.57248,0.43092,0.46276,0.22173,0.57228,0.43021,0.45159,0.1925,1.8467,2.6174,1.5762,1.3349,7.7826e-05,7.7826e-05,7.7826e-05
v8_50_x.csv,48,1.5815,2.2783,1.3521,1.3497,0.55839,0.42813,0.44766,0.21533,0.5832,0.4209,0.44012,0.18587,1.7623,2.4686,2.1291,1.4374,4.9552e-05,4.9552e-05,4.9552e-05
