                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0816,                 3.1911,                 3.7508,                  1.432,                0.28701,                0.13601,                0.08094,                0.03464,                0.27801,                0.12813,                0.06655,                0.02272,                 2.3601,                 4.1928,                 2.9571,                 2.1581,             0.00023434,             0.00023434,             0.00023434
                      2,                 2.0149,                 2.8699,                 2.1279,                 1.3669,                0.16292,                0.21188,                0.08058,                0.02958,                 0.1451,                0.19512,                0.06411,                0.02144,                 2.4333,                 6.9611,                 13.384,                 2.1123,                0.00047,                0.00047,                0.00047
                      3,                 2.1033,                 2.9656,                 2.1486,                 1.3927,                0.14897,                0.11525,                0.05581,                0.01949,                 0.1468,                 0.1223,                0.05536,                0.01664,                 2.7368,                 5.1482,                 20.255,                 2.1962,             0.00070331,             0.00070331,             0.00070331
                      4,                 2.1698,                 2.9829,                 2.1604,                 1.4529,                0.09489,                0.08447,                0.02461,                0.00839,                0.09766,                0.08518,                0.02229,                0.00697,                 2.7115,                 5.0527,                 22.656,                 2.4772,              0.0007034,              0.0007034,              0.0007034
                      5,                 2.1065,                  2.902,                 2.0402,                 1.4186,                0.37794,                0.20115,                0.17452,                0.07115,                0.36317,                0.19041,                0.15962,                 0.0565,                 2.4856,                 4.3394,                  3.435,                 2.0038,             0.00069986,             0.00069986,             0.00069986
                      6,                 2.0643,                 2.8176,                 1.9239,                  1.396,                0.30926,                0.17895,                0.14873,                0.05923,                0.31544,                0.18253,                 0.1429,                0.05276,                 2.4632,                 3.5844,                 3.8429,                  1.982,             0.00069633,             0.00069633,             0.00069633
                      7,                 1.9117,                 2.6853,                 1.7665,                 1.3339,                0.37004,                0.20258,                 0.1674,                0.06346,                0.36764,                0.21045,                0.16725,                0.06064,                 2.5566,                 3.8488,                 3.2152,                 2.0087,             0.00069279,             0.00069279,             0.00069279
                      8,                  1.889,                 2.6488,                 1.7397,                 1.3411,                0.29853,                0.21475,                0.15555,                0.06403,                0.29463,                0.21045,                0.15244,                0.05552,                 2.2832,                 3.8222,                 5.3915,                 1.8636,             0.00068926,             0.00068926,             0.00068926
                      9,                   1.84,                   2.65,                 1.6569,                 1.2887,                0.41153,                0.24123,                0.22721,                0.09362,                0.38592,                0.24481,                0.21766,                0.07887,                 2.2422,                 3.3054,                 2.4072,                 1.8272,             0.00068573,             0.00068573,             0.00068573
                     10,                 1.7799,                  2.519,                 1.5646,                 1.2855,                0.33867,                0.27559,                0.21992,                0.08808,                0.34469,                0.27938,                0.22091,                0.08673,                 2.2662,                 3.1406,                 2.4536,                 1.7531,             0.00068219,             0.00068219,             0.00068219
                     11,                 1.7214,                 2.4177,                 1.4756,                 1.2429,                 0.3989,                0.27917,                0.22342,                0.08845,                0.43025,                0.28633,                0.23525,                0.08501,                 2.2724,                 3.1646,                 2.4183,                  1.791,             0.00067866,             0.00067866,             0.00067866
                     12,                 1.6514,                 2.3623,                 1.4376,                 1.2286,                  0.401,                0.27363,                0.24889,                0.10332,                0.39524,                0.26853,                0.23415,                0.08686,                  2.225,                 3.1703,                 2.3946,                 1.7518,             0.00067512,             0.00067512,             0.00067512
                     13,                 1.6105,                 2.2968,                 1.3679,                  1.195,                0.40159,                0.25626,                0.22966,                0.09746,                0.39323,                0.25125,                0.22014,                0.08104,                  2.271,                 3.2341,                 2.4047,                 1.7848,             0.00067159,             0.00067159,             0.00067159
                     14,                 1.6169,                 2.3309,                 1.3692,                 1.2044,                0.42822,                0.29778,                0.27741,                 0.1208,                0.44262,                0.29635,                 0.2693,                0.10667,                 2.1793,                 3.0495,                 2.2675,                 1.7241,             0.00066805,             0.00066805,             0.00066805
                     15,                 1.6102,                 2.2559,                 1.3423,                 1.2071,                0.39956,                0.30422,                0.25626,                0.10366,                0.40285,                0.30279,                0.25085,                0.09908,                 2.1883,                 3.0749,                 2.1832,                  1.737,             0.00066452,             0.00066452,             0.00066452
                     16,                  1.584,                 2.2573,                 1.3095,                 1.2014,                0.42946,                0.26127,                0.25008,                0.10267,                0.41972,                0.24624,                0.22745,                0.08253,                 2.2023,                 3.0531,                 2.3878,                 1.7445,             0.00066099,             0.00066099,             0.00066099
                     17,                 1.5392,                 2.2253,                 1.2662,                 1.1548,                0.39419,                0.31347,                0.28128,                 0.1167,                0.38195,                0.29861,                0.26885,                0.09987,                 2.1517,                 3.1056,                 2.2467,                 1.7066,             0.00065745,             0.00065745,             0.00065745
                     18,                 1.5489,                  2.177,                 1.2784,                  1.184,                0.46008,                0.27917,                0.27024,                0.12212,                0.42522,                 0.2806,                 0.2565,                0.11068,                 2.1046,                 2.9595,                  2.161,                 1.6728,             0.00065392,             0.00065392,             0.00065392
                     19,                 1.5356,                 2.1943,                  1.241,                 1.1806,                0.41184,                0.29707,                0.27815,                0.11611,                0.40275,                0.28704,                0.25946,                0.09485,                  2.165,                 3.1044,                 2.1799,                 1.7208,             0.00065038,             0.00065038,             0.00065038
                     20,                 1.4688,                 2.1076,                 1.1849,                 1.1291,                0.44145,                0.31281,                0.29469,                 0.1281,                0.45528,                0.29795,                0.28239,                0.11075,                 2.1173,                 2.9745,                 2.2302,                 1.6994,             0.00064685,             0.00064685,             0.00064685
                     21,                 1.4886,                 2.1589,                 1.2073,                 1.1494,                  0.466,                0.25483,                0.23713,                0.10171,                0.44569,                0.24553,                0.22371,                0.08781,                 2.2275,                 3.2391,                 2.5123,                 1.7393,             0.00064331,             0.00064331,             0.00064331
                     22,                 1.4724,                 2.1151,                 1.1989,                  1.162,                 0.3198,                0.28848,                0.22444,                0.09763,                0.35213,                0.25054,                0.21003,                0.07883,                 2.1439,                 3.0342,                 2.3599,                 1.6566,             0.00063978,             0.00063978,             0.00063978
                     23,                 1.4585,                 2.1175,                 1.1755,                 1.1376,                0.42516,                0.27774,                0.26388,                0.12083,                0.42203,                0.26915,                0.25616,                0.10411,                 2.1378,                 3.0655,                 2.3457,                 1.6529,             0.00063625,             0.00063625,             0.00063625
                     24,                 1.4168,                 2.0451,                 1.1484,                 1.1243,                0.42007,                0.32427,                0.29052,                0.11633,                0.41543,                0.32069,                0.27541,                0.10563,                 2.1245,                 3.0992,                 2.1716,                 1.6827,             0.00063271,             0.00063271,             0.00063271
                     25,                 1.4405,                 2.0457,                 1.1475,                 1.1351,                0.40217,                0.33572,                0.26816,                0.11534,                0.39717,                0.32355,                0.25861,                0.09638,                 2.0644,                 2.9492,                 2.2925,                 1.6191,             0.00062918,             0.00062918,             0.00062918
                     26,                 1.3966,                 1.9933,                 1.0907,                 1.1033,                0.43748,                0.31067,                0.29096,                 0.1251,                0.43255,                0.29921,                0.27071,                0.09723,                  2.138,                 3.0779,                 2.1775,                 1.6534,             0.00062564,             0.00062564,             0.00062564
                     27,                 1.4018,                 2.0555,                 1.1239,                 1.1151,                0.37134,                0.32856,                0.26793,                0.11397,                0.36163,                0.31997,                0.24901,                 0.0927,                 2.1012,                 2.9937,                 2.1846,                 1.6397,             0.00062211,             0.00062211,             0.00062211
                     28,                 1.3814,                 2.0135,                 1.1084,                 1.1083,                0.48512,                0.34216,                0.33036,                0.13982,                0.51055,                0.31782,                0.31148,                0.11538,                 2.0352,                 2.9718,                 1.9984,                 1.6259,             0.00061857,             0.00061857,             0.00061857
                     29,                 1.3718,                  1.872,                 1.0878,                 1.1065,                0.47932,                0.32427,                0.33589,                0.14409,                0.45216,                0.33071,                0.31962,                0.13417,                 2.0362,                 2.9444,                  1.996,                 1.6312,             0.00061504,             0.00061504,             0.00061504
                     30,                 1.3212,                 1.9368,                 1.0557,                 1.0921,                0.43061,                0.29492,                0.26369,                0.11559,                0.40963,                0.29205,                0.24274,                0.09985,                 2.0799,                 2.9262,                 2.2477,                 1.6807,             0.00061151,             0.00061151,             0.00061151
