                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.06,                 3.0623,                  4.197,                 1.3359,                0.00258,                0.49248,                0.01945,                0.00657,                0.00217,                0.41446,                0.01583,                0.00472,                 2.2954,                 5.6337,                 7.5668,                  1.789,             0.00023557,             0.00023557,             0.00023557
                      2,                  1.976,                 2.7647,                 2.4104,                 1.3205,                0.32578,                0.22548,                0.17352,                0.06676,                0.30873,                0.21761,                0.16015,                0.05165,                 2.3414,                 3.5712,                 4.2414,                 1.8212,             0.00047123,             0.00047123,             0.00047123
                      3,                 1.9401,                 2.7634,                 2.0212,                 1.3229,                0.24381,                0.19685,                0.12444,                 0.0486,                0.23611,                0.18253,                0.11219,                0.04086,                 2.4221,                 4.7606,                 7.7973,                 1.8807,             0.00070453,             0.00070453,             0.00070453
                      4,                 1.9746,                 2.7637,                 1.9286,                 1.3493,                0.33421,                0.20186,                0.17483,                0.06182,                0.32235,                 0.1947,                0.15916,                 0.0523,                 2.4097,                 3.6076,                 4.0443,                 1.8236,              0.0007034,              0.0007034,              0.0007034
                      5,                 1.8536,                 2.5397,                 1.7359,                   1.29,                0.32359,                0.19542,                0.15862,                0.06214,                0.32413,                0.18754,                0.14657,                0.05419,                 2.3814,                 3.3655,                 3.5829,                 1.8556,             0.00069986,             0.00069986,             0.00069986
                      6,                 1.7445,                  2.452,                 1.5969,                  1.251,                0.29358,                0.22763,                 0.1764,                0.07036,                0.28236,                0.24123,                0.16572,                0.06068,                 2.2748,                 3.2353,                  3.361,                 1.7717,             0.00069633,             0.00069633,             0.00069633
                      7,                 1.6819,                 2.4489,                 1.4539,                 1.2095,                0.42583,                0.25555,                0.24878,                0.10381,                0.39641,                0.25054,                0.22628,                0.08484,                 2.2598,                 3.2598,                 2.7439,                 1.7451,             0.00069279,             0.00069279,             0.00069279
                      8,                 1.6232,                 2.3131,                 1.3949,                 1.2061,                0.40088,                0.25412,                0.22889,                 0.0993,                0.39129,                 0.2534,                0.22112,                0.08322,                 2.1697,                  3.215,                 2.7496,                 1.7218,             0.00068926,             0.00068926,             0.00068926
                      9,                  1.584,                 2.3487,                 1.3569,                 1.2083,                0.37388,                0.26485,                0.24724,                0.10233,                0.36277,                0.25698,                0.23195,                0.08969,                 2.1246,                 3.1427,                 3.4856,                 1.6754,             0.00068573,             0.00068573,             0.00068573
                     10,                 1.5531,                  2.286,                 1.3214,                 1.1872,                0.41023,                0.26937,                0.24814,                0.10775,                0.42396,                0.26915,                0.24889,                0.09783,                 2.1051,                 3.0003,                 2.6608,                 1.6677,             0.00068219,             0.00068219,             0.00068219
                     11,                 1.4988,                 2.1678,                 1.2649,                 1.1831,                 0.3991,                0.31188,                0.27939,                0.11924,                 0.4173,                0.31782,                0.28694,                0.11314,                 2.1061,                 2.9498,                 2.2615,                 1.6672,             0.00067866,             0.00067866,             0.00067866
                     12,                 1.4711,                 2.1457,                 1.2057,                 1.1457,                0.38003,                0.30064,                0.25264,                0.10591,                0.38157,                 0.2985,                0.24593,                 0.0906,                 2.1222,                 2.9838,                 2.7931,                  1.636,             0.00067512,             0.00067512,             0.00067512
                     13,                  1.421,                 2.0989,                 1.1932,                 1.1463,                0.39644,                0.30279,                0.28744,                0.12143,                0.43473,                0.27917,                0.27678,                0.10918,                 2.1101,                 3.0271,                 2.2093,                  1.628,             0.00067159,             0.00067159,             0.00067159
                     14,                 1.4287,                 2.1084,                 1.1579,                 1.1296,                0.42016,                0.31639,                0.29804,                0.13033,                0.43361,                0.30494,                 0.2887,                 0.1144,                 2.1086,                 2.9614,                 2.2144,                 1.6805,             0.00066805,             0.00066805,             0.00066805
                     15,                 1.4198,                 2.0876,                 1.1562,                 1.1467,                0.33668,                0.30494,                0.23857,                0.10022,                0.35471,                0.28633,                0.22908,                0.08498,                 2.1394,                 3.2002,                 2.4608,                  1.667,             0.00066452,             0.00066452,             0.00066452
                     16,                 1.3559,                 2.0299,                 1.1012,                 1.1242,                0.45574,                0.31768,                0.30041,                0.12982,                0.44869,                0.29921,                0.28151,                0.11736,                 2.0322,                 2.9393,                 2.4524,                 1.6511,             0.00066099,             0.00066099,             0.00066099
                     17,                 1.3093,                 1.9855,                 1.0862,                 1.0928,                0.49162,                0.30995,                0.30497,                0.13317,                0.46855,                0.30351,                0.29099,                0.11791,                 2.1074,                 2.9077,                 2.6376,                  1.623,             0.00065745,             0.00065745,             0.00065745
                     18,                 1.3636,                 2.0479,                  1.096,                   1.11,                0.43425,                0.31424,                0.29824,                0.12873,                0.42732,                0.30923,                0.28725,                0.11599,                 2.0614,                 2.9692,                 2.1831,                 1.6308,             0.00065392,             0.00065392,             0.00065392
                     19,                 1.2947,                 1.9328,                 1.0372,                 1.0777,                  0.449,                0.32355,                0.31044,                0.12899,                0.50184,                0.28704,                0.28753,                0.11301,                 2.0707,                 2.8906,                 2.1485,                 1.6258,             0.00065038,             0.00065038,             0.00065038
                     20,                 1.2654,                 1.9549,                 1.0238,                 1.0754,                0.44225,                0.30536,                0.30611,                0.13555,                0.46244,                0.30604,                0.30665,                0.12691,                 2.0463,                 2.9242,                 2.1403,                 1.6283,             0.00064685,             0.00064685,             0.00064685
                     21,                  1.304,                 1.9613,                 1.0563,                 1.1026,                0.45626,                0.35139,                0.33614,                0.15013,                0.46243,                0.35576,                0.33478,                0.13382,                 1.9649,                 2.7861,                 2.1962,                 1.5636,             0.00064331,             0.00064331,             0.00064331
                     22,                  1.299,                 1.9047,                 1.0388,                 1.1057,                0.46425,                0.34073,                0.31846,                 0.1407,                0.46834,                0.32915,                0.30821,                0.12036,                 2.0122,                 2.9042,                 2.1936,                 1.5579,             0.00063978,             0.00063978,             0.00063978
                     23,                 1.2576,                 1.8883,                0.99151,                 1.0754,                0.49127,                0.33941,                0.35036,                0.15159,                0.51163,                0.32713,                0.33588,                0.12943,                 2.0473,                 2.8605,                 1.9692,                 1.6078,             0.00063625,             0.00063625,             0.00063625
                     24,                 1.3086,                 1.8775,                 1.0228,                 1.0901,                0.45381,                0.34789,                 0.3406,                0.15558,                0.45787,                0.35863,                0.33901,                0.14189,                 1.9887,                 2.7359,                 2.1592,                 1.5828,             0.00063271,             0.00063271,             0.00063271
                     25,                 1.2547,                  1.921,                 1.0122,                 1.0898,                0.48138,                 0.3214,                0.31934,                0.14618,                0.48284,                0.31926,                0.31426,                0.12881,                 2.0648,                 2.8223,                 2.1783,                 1.6037,             0.00062918,             0.00062918,             0.00062918
                     26,                 1.2439,                 1.8203,                 0.9841,                  1.056,                0.42997,                 0.3488,                0.32886,                0.14229,                0.42751,                 0.3393,                0.30987,                 0.1222,                 2.0192,                 2.8096,                 2.1414,                 1.5719,             0.00062564,             0.00062564,             0.00062564
                     27,                 1.2182,                 1.8707,                0.99829,                 1.0724,                0.48466,                 0.3292,                0.32607,                 0.1451,                0.48498,                0.30995,                0.29853,                0.11818,                 1.9998,                  2.851,                 2.2179,                 1.5523,             0.00062211,             0.00062211,             0.00062211
                     28,                 1.2108,                 1.8166,                0.96995,                 1.0521,                0.47993,                0.35433,                0.35029,                0.15258,                0.49055,                0.33715,                0.32454,                 0.1308,                 1.9921,                 2.7618,                 2.0997,                 1.5778,             0.00061857,             0.00061857,             0.00061857
                     29,                 1.2103,                 1.8054,                0.92774,                 1.0638,                0.45125,                0.36292,                0.34344,                0.15302,                0.43879,                 0.3529,                0.32609,                0.13064,                 1.9701,                 2.7894,                 2.1139,                 1.5857,             0.00061504,             0.00061504,             0.00061504
                     30,                 1.2025,                 1.8063,                0.95379,                 1.0532,                0.43443,                0.37652,                0.35239,                0.15794,                0.41174,                0.35863,                 0.3333,                0.13034,                 1.9781,                 2.7523,                 2.0744,                 1.5684,             0.00061151,             0.00061151,             0.00061151
                     31,                 1.2293,                 1.8697,                0.98622,                 1.0742,                0.49132,                 0.3616,                0.36357,                0.15467,                0.48371,                0.33286,                 0.3342,                0.12669,                 2.0335,                 2.8013,                 2.1079,                 1.5623,             0.00060797,             0.00060797,             0.00060797
