                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2226,                 3.5966,                 6.1565,                 1.4481,                0.00306,                0.58339,                0.00552,                0.00206,                0.00297,                0.56693,                0.00505,                0.00178,                 2.0196,                 3.0929,                  4.887,                 1.4144,             0.00022848,             0.00022848,             0.00022848
                      2,                 2.0639,                 2.9441,                 4.0738,                 1.3075,                0.00267,                0.50823,                0.01385,                  0.007,                0.00261,                0.49678,                 0.0176,                0.00636,                 2.0719,                 3.3582,                 5.0874,                 1.4444,              0.0004618,              0.0004618,              0.0004618
                      3,                 2.0731,                  2.971,                 3.2619,                 1.3297,                 0.6733,                0.02004,                0.04592,                0.01774,                0.64925,                0.01933,                0.04166,                0.01829,                 2.3461,                 4.9686,                 4.1751,                 1.7013,             0.00069279,             0.00069279,             0.00069279
                      4,                 2.1096,                 2.8879,                 2.8161,                 1.3869,                0.30482,                0.10809,                0.09332,                0.03441,                0.29069,                0.10308,                0.08558,                0.03464,                 2.3108,                 4.7776,                 3.3076,                 1.7771,              0.0007034,              0.0007034,              0.0007034
                      5,                 2.0577,                 2.9279,                 2.4027,                 1.3436,                0.32975,                0.20186,                0.17778,                0.07071,                0.32119,                0.20401,                0.16901,                0.06836,                 2.2525,                 3.6658,                 2.6478,                 1.5868,             0.00069986,             0.00069986,             0.00069986
                      6,                  2.032,                 2.7639,                 2.2284,                 1.3261,                0.35155,                0.21403,                 0.1955,                0.08274,                0.35125,                0.21117,                0.18601,                 0.0693,                 2.2304,                 3.3238,                 2.5442,                  1.602,             0.00069633,             0.00069633,             0.00069633
                      7,                  1.957,                 2.7788,                 2.0903,                 1.3151,                0.31158,                0.22763,                0.18048,                0.07299,                0.29395,                0.21475,                0.16337,                0.05873,                 2.2385,                 3.3359,                 2.5015,                 1.5535,             0.00069279,             0.00069279,             0.00069279
                      8,                 1.9404,                 2.7403,                  2.019,                 1.3375,                0.33124,                0.27273,                0.21447,                0.08685,                0.31907,                0.25984,                0.19532,                0.07006,                 2.2511,                  4.277,                 2.2936,                 1.6051,             0.00068926,             0.00068926,             0.00068926
                      9,                 1.8564,                 2.6179,                  1.831,                 1.2718,                0.36513,                0.28776,                 0.2302,                0.09898,                0.37428,                0.27273,                0.22038,                0.08437,                  2.159,                   3.04,                 2.2811,                 1.5596,             0.00068573,             0.00068573,             0.00068573
                     10,                   1.85,                 2.6307,                 1.8356,                 1.2575,                0.34591,                0.25841,                0.21259,                 0.0891,                0.33645,                0.25054,                0.19317,                0.07441,                 2.2188,                 3.2248,                 2.5541,                 1.6181,             0.00068219,             0.00068219,             0.00068219
                     11,                 1.8313,                 2.5749,                 1.7284,                 1.2554,                0.34128,                0.29921,                 0.2367,                 0.0983,                0.33943,                0.28132,                0.22546,                0.08158,                 2.1029,                 3.3319,                 2.4093,                 1.5508,             0.00067866,             0.00067866,             0.00067866
                     12,                 1.8374,                 2.5462,                 1.7606,                 1.2633,                0.39422,                0.27201,                0.26311,                0.10798,                0.36096,                0.26056,                0.23018,                0.08545,                 2.1441,                 2.9304,                 2.1353,                 1.5816,             0.00067512,             0.00067512,             0.00067512
                     13,                 1.7879,                 2.5139,                 1.6751,                 1.2277,                0.40886,                0.29492,                0.27835,                0.11378,                0.40072,                0.28776,                0.26384,                0.09847,                 2.0631,                 3.0824,                 2.1311,                 1.5216,             0.00067159,             0.00067159,             0.00067159
                     14,                 1.7797,                 2.5146,                 1.6435,                 1.2267,                0.37829,                0.34288,                0.28397,                 0.1238,                  0.378,                0.33583,                0.27342,                0.10968,                 2.0415,                 2.9068,                 2.1164,                 1.5083,             0.00066805,             0.00066805,             0.00066805
                     15,                 1.7198,                 2.4603,                 1.5829,                 1.2002,                0.45364,                0.30371,                 0.3019,                0.12675,                0.44017,                0.29277,                0.27632,                0.10299,                 2.0856,                 3.0568,                  2.229,                 1.4895,             0.00066452,             0.00066452,             0.00066452
                     16,                 1.7498,                 2.4785,                 1.5826,                 1.2278,                0.41156,                0.32856,                0.30886,                0.13183,                 0.3976,                0.32355,                0.29211,                0.11574,                 2.0246,                 2.8373,                 1.9957,                 1.5243,             0.00066099,             0.00066099,             0.00066099
                     17,                 1.7146,                 2.3619,                 1.5091,                 1.1861,                0.44362,                0.32419,                0.30606,                0.13385,                0.41651,                0.32069,                0.29009,                0.11775,                 2.0717,                 2.8858,                 1.9949,                 1.5361,             0.00065745,             0.00065745,             0.00065745
                     18,                 1.7125,                  2.356,                 1.5192,                 1.1887,                0.39049,                0.34503,                0.30832,                0.12967,                0.38384,                0.32427,                0.27831,                0.10741,                 2.0615,                  2.964,                  1.988,                 1.5215,             0.00065392,             0.00065392,             0.00065392
                     19,                 1.7052,                 2.4156,                 1.5244,                 1.2204,                0.40975,                0.33294,                0.31835,                0.14406,                0.44109,                0.29635,                0.29046,                0.11609,                 2.0031,                 3.0549,                 2.0047,                 1.5133,             0.00065038,             0.00065038,             0.00065038
                     20,                 1.6573,                 2.3127,                 1.4795,                 1.1703,                0.42304,                0.33429,                0.31104,                0.13488,                0.39801,                0.32069,                0.28522,                0.11111,                 2.0476,                 2.9178,                 1.9828,                 1.5092,             0.00064685,             0.00064685,             0.00064685
                     21,                 1.6502,                 2.3561,                 1.4665,                 1.1776,                0.50206,                0.30818,                0.32612,                0.14468,                0.47911,                0.30064,                0.30714,                0.13032,                 2.0615,                 3.0266,                 2.0497,                  1.508,             0.00064331,             0.00064331,             0.00064331
                     22,                 1.6401,                 2.3116,                 1.3995,                 1.1814,                0.46124,                0.33357,                0.33226,                0.14407,                0.46412,                0.33286,                 0.3235,                0.12995,                 2.0682,                 2.9865,                 1.9405,                 1.4983,             0.00063978,             0.00063978,             0.00063978
