                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2097,                 3.8112,                 5.9303,                 1.5138,                0.00315,                0.59986,                0.01903,                0.00582,                0.00291,                0.55476,                0.02389,                0.00709,                 2.0053,                 3.5474,                 4.6273,                 1.3579,             0.00017136,             0.00017136,             0.00017136
                      2,                  2.061,                 2.9749,                 4.6455,                 1.2614,                0.00343,                0.65354,                  0.043,                 0.0145,                0.00337,                0.64352,                0.05024,                0.01716,                  1.978,                 3.0688,                 4.6156,                 1.3366,             0.00034293,             0.00034293,             0.00034293
                      3,                 1.9977,                 2.8622,                 3.7949,                 1.2945,                0.00311,                0.59341,                0.00977,                0.00407,                0.00289,                 0.5519,                0.01177,                0.00445,                  2.032,                 3.4151,                 4.7572,                 1.4814,             0.00050744,             0.00050744,             0.00050744
                      4,                 2.0086,                 2.8431,                  3.338,                 1.3044,                0.00174,                 0.2806,                0.03239,                0.01471,                0.00142,                0.22835,                0.02976,                0.01202,                 2.1507,                 3.4327,                 3.8258,                 1.5454,             0.00066487,             0.00066487,             0.00066487
                      5,                 2.0023,                 2.8863,                 3.0286,                 1.3154,                 0.6534,                0.07373,                0.16336,                0.06862,                0.63931,                0.06978,                0.15173,                 0.0551,                 2.0897,                 3.6386,                 3.1376,                 1.4592,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.9837,                 2.7429,                 2.7815,                 1.2998,                 0.4377,                0.15891,                0.16779,                 0.0696,                0.43065,                0.15319,                0.15534,                0.05666,                  2.101,                 3.4752,                 2.9049,                 1.4995,             0.00064331,             0.00064331,             0.00064331
                      7,                  1.907,                 2.7003,                 2.5212,                 1.2857,                0.44543,                0.18898,                0.18148,                 0.0781,                0.43193,                0.18325,                0.16981,                0.06901,                 2.1549,                 3.2382,                 2.9057,                 1.5591,             0.00062918,             0.00062918,             0.00062918
                      8,                  1.812,                 2.5843,                 2.2973,                 1.2363,                 0.4144,                 0.2262,                0.19798,                0.08787,                0.41711,                0.21975,                0.19028,                0.07466,                 2.0579,                 3.2347,                 2.6111,                 1.4968,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.8746,                 2.6582,                 2.1815,                 1.2614,                 0.3474,                 0.2398,                 0.1995,                0.08618,                0.35683,                0.24344,                0.20074,                0.07692,                  2.122,                 3.0039,                 2.5325,                 1.5308,              0.0006009,              0.0006009,              0.0006009
                     10,                 1.8641,                 2.5822,                 2.0247,                 1.2424,                0.43525,                0.28919,                0.28531,                0.11964,                0.44792,                0.27702,                0.27425,                0.10361,                 2.0308,                 2.9331,                 2.3223,                 1.4506,             0.00058677,             0.00058677,             0.00058677
                     11,                 1.8336,                 2.5516,                 1.9921,                 1.2337,                0.37061,                0.28561,                0.25654,                0.11182,                0.39092,                 0.2806,                0.25197,                0.10498,                 2.0661,                 2.9403,                 2.2239,                 1.5094,             0.00057263,             0.00057263,             0.00057263
                     12,                 1.8269,                 2.5251,                 1.9179,                 1.2315,                0.47892,                0.30264,                0.30511,                0.13363,                0.46292,                0.28848,                0.28626,                  0.112,                 2.0205,                 2.9276,                 2.1359,                  1.448,             0.00055849,             0.00055849,             0.00055849
                     13,                 1.7778,                 2.5081,                 1.8487,                  1.212,                0.43687,                0.30995,                  0.299,                0.12839,                0.40537,                0.31067,                0.29239,                0.11905,                 2.0341,                 2.9516,                 2.0775,                  1.435,             0.00054435,             0.00054435,             0.00054435
                     14,                 1.7926,                 2.4912,                 1.7838,                 1.2094,                0.43111,                  0.335,                0.31253,                0.13724,                0.46633,                0.32928,                0.31483,                 0.1264,                 1.9919,                 2.9834,                 2.0303,                 1.4074,             0.00053022,             0.00053022,             0.00053022
                     15,                 1.7555,                 2.4756,                  1.751,                 1.2059,                0.50322,                0.28991,                 0.2962,                0.12934,                0.45668,                0.29349,                0.28371,                0.10954,                 2.0805,                 3.0079,                 2.1255,                 1.4704,             0.00051608,             0.00051608,             0.00051608
                     16,                 1.7028,                 2.3905,                 1.6976,                 1.1882,                0.47771,                0.30637,                0.31391,                0.13773,                 0.4662,                0.29205,                0.30098,                0.12306,                 1.9942,                 2.8881,                 2.0954,                 1.4201,             0.00050194,             0.00050194,             0.00050194
