                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2474,                 3.6236,                 8.8962,                 1.5753,                0.22983,                0.09592,                0.06382,                0.02684,                0.21554,                0.09592,                0.06056,                0.02281,                 2.1641,                 4.1606,                 7.8413,                 1.6549,             0.00022848,             0.00022848,             0.00022848
                      2,                 2.0905,                 2.9425,                 2.6151,                 1.3537,                0.19982,                0.18397,                0.09576,                0.03849,                0.14292,                0.13958,                0.05693,                0.01947,                 2.3024,                 4.7388,                 2.8901,                 1.7628,              0.0004618,              0.0004618,              0.0004618
                      3,                 2.0726,                 2.9329,                  2.243,                 1.3672,                0.21547,                 0.2083,                0.11358,                0.04376,                0.18298,                 0.1675,                0.07985,                0.02408,                 2.3691,                 7.1962,                 8.2271,                 1.9349,             0.00069279,             0.00069279,             0.00069279
                      4,                 2.1169,                 2.9992,                 2.2393,                 1.4482,                0.11863,                0.24052,                0.05295,                0.02013,                0.11748,                0.22978,                0.04917,                 0.0164,                  2.327,                 129.23,                 17.501,                 2.0566,              0.0007034,              0.0007034,              0.0007034
                      5,                 2.1111,                 2.9587,                 2.0959,                 1.3983,                0.23455,                0.19685,                 0.1247,                0.04896,                0.24901,                0.16321,                0.10535,                0.03836,                 2.5307,                  112.9,                 5.3822,                 2.0901,             0.00069986,             0.00069986,             0.00069986
                      6,                 2.0546,                 2.8508,                 2.0838,                 1.3725,                0.32721,                0.24839,                0.19098,                 0.0736,                0.32605,                0.25626,                0.18537,                0.06284,                 2.2778,                 3.2624,                 3.3598,                 1.6627,             0.00069633,             0.00069633,             0.00069633
                      7,                 1.9649,                  2.775,                 1.9598,                 1.3511,                0.28394,                0.17037,                0.12354,                0.04944,                0.27416,                0.16607,                0.11818,                0.04037,                 2.4281,                 5.5592,                 4.0821,                 1.7378,             0.00069279,             0.00069279,             0.00069279
                      8,                 1.9677,                 2.7438,                 1.9236,                 1.3536,                0.29713,                0.20425,                  0.151,                0.06329,                0.28084,                0.18826,                0.13381,                0.05403,                 2.4331,                 3.8945,                 3.0519,                 1.7576,             0.00068926,             0.00068926,             0.00068926
                      9,                  1.905,                 2.6872,                 1.8171,                 1.2989,                0.36752,                0.25412,                0.22719,                0.09516,                 0.3605,                0.25054,                0.22023,                  0.081,                 2.1588,                 3.1513,                 2.2984,                 1.6436,             0.00068573,             0.00068573,             0.00068573
                     10,                 1.9021,                 2.6953,                 1.8112,                 1.3107,                0.41247,                0.28561,                0.27118,                0.11199,                0.41971,                0.29062,                0.27378,                0.10642,                 2.1702,                 3.1717,                 2.2347,                  1.613,             0.00068219,             0.00068219,             0.00068219
                     11,                 1.8481,                 2.5777,                   1.73,                  1.294,                0.38763,                 0.2577,                0.21285,                 0.0873,                0.38745,                0.24911,                0.20602,                 0.0752,                 2.2455,                 3.2787,                 2.6246,                 1.6628,             0.00067866,             0.00067866,             0.00067866
                     12,                 1.8609,                  2.584,                 1.7532,                 1.3047,                0.28434,                0.23336,                0.16516,                0.06443,                0.25817,                0.21188,                0.13988,                0.04797,                 2.2055,                 3.2149,                 2.4486,                 1.5879,             0.00067512,             0.00067512,             0.00067512
                     13,                 1.7987,                 2.5345,                 1.6327,                 1.2434,                0.39601,                0.31496,                0.26526,                 0.1071,                0.36925,                0.31138,                0.24634,                0.09201,                 2.1274,                 3.0828,                 2.2116,                 1.5552,             0.00067159,             0.00067159,             0.00067159
                     14,                 1.8353,                 2.5444,                 1.6635,                 1.2709,                0.42457,                0.29492,                0.25729,                0.10645,                0.43905,                0.26271,                0.23572,                0.08957,                 2.2043,                 3.6894,                 2.3314,                 1.5874,             0.00066805,             0.00066805,             0.00066805
                     15,                 1.7841,                  2.499,                 1.6096,                 1.2356,                0.41452,                0.30995,                0.27793,                0.11594,                 0.4059,                0.30351,                0.26743,                0.09736,                 2.1558,                 3.1132,                 2.1705,                 1.5737,             0.00066452,             0.00066452,             0.00066452
                     16,                 1.7947,                 2.5183,                 1.6379,                  1.267,                0.43504,                0.29492,                0.27735,                0.11842,                0.45145,                0.28418,                0.27411,                0.11108,                 2.1277,                 2.9394,                 2.1598,                 1.6001,             0.00066099,             0.00066099,             0.00066099
                     17,                 1.7601,                 2.4545,                 1.6002,                 1.2181,                0.46182,                0.27416,                0.27651,                0.12097,                0.46664,                0.27702,                0.27245,                0.10887,                 2.0805,                  2.954,                 2.0935,                 1.5888,             0.00065745,             0.00065745,             0.00065745
                     18,                 1.7352,                 2.4301,                 1.5538,                 1.2214,                0.45517,                0.31711,                0.31423,                0.13629,                0.46189,                0.31281,                 0.3134,                0.12322,                 2.0271,                 2.8562,                 1.9772,                 1.4841,             0.00065392,             0.00065392,             0.00065392
                     19,                 1.7223,                 2.4672,                 1.5378,                 1.2332,                0.41959,                0.30709,                0.28472,                0.12387,                0.43769,                0.29921,                0.27611,                0.10872,                 1.9995,                 2.8812,                 2.3221,                 1.5401,             0.00065038,             0.00065038,             0.00065038
                     20,                 1.6497,                 2.3125,                 1.4553,                 1.1954,                0.44633,                0.31679,                 0.3034,                0.13323,                0.44027,                 0.3125,                0.29661,                0.11493,                 2.0619,                 2.9198,                  2.169,                 1.5286,             0.00064685,             0.00064685,             0.00064685
                     21,                 1.6867,                 2.3843,                 1.4861,                  1.202,                 0.4436,                0.31281,                0.30952,                0.13801,                0.41834,                0.30995,                0.29134,                0.11621,                 2.0394,                 2.9622,                 2.0789,                 1.5288,             0.00064331,             0.00064331,             0.00064331
