                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9744,                 2.8722,                 3.5808,                 1.3235,                0.32275,                 0.2398,                0.15998,                0.05833,                0.33006,                0.24404,                0.15868,                0.05335,                 2.1612,                 3.1467,                 6.9949,                 1.6137,             0.00023678,             0.00023678,             0.00023678
                      2,                 1.9374,                 2.7594,                 2.1916,                  1.347,                0.28666,                0.18826,                0.14403,                0.05497,                0.29296,                0.17466,                0.13485,                0.05003,                 2.3092,                  3.605,                 3.7479,                 1.7616,             0.00047243,             0.00047243,             0.00047243
                      3,                  1.876,                 2.6855,                 1.8578,                 1.3205,                0.30893,                0.16392,                0.11573,                0.04677,                0.28735,                0.15247,                0.10114,                0.03264,                 2.3802,                 3.5372,                 3.4795,                 1.8333,             0.00070572,             0.00070572,             0.00070572
                      4,                 1.8237,                 2.6472,                 1.7386,                 1.3285,                0.35636,                0.24338,                  0.208,                 0.0816,                0.34502,                0.23622,                0.20545,                 0.0781,                 2.2418,                 3.2082,                 4.8291,                 1.7699,              0.0007034,              0.0007034,              0.0007034
                      5,                 1.7344,                 2.4759,                 1.5814,                 1.2876,                0.33347,                 0.2534,                0.20566,                 0.0819,                0.37578,                0.24624,                0.20824,                0.07784,                 2.1864,                 3.1383,                 3.0747,                 1.7037,             0.00069986,             0.00069986,             0.00069986
                      6,                 1.6168,                 2.3692,                 1.4069,                 1.2412,                0.40515,                0.26127,                0.21831,                0.09209,                0.37679,                0.27631,                0.21834,                0.08047,                 2.1067,                 3.0046,                  3.163,                 1.6355,             0.00069633,             0.00069633,             0.00069633
                      7,                 1.5346,                 2.3327,                 1.3833,                 1.2049,                 0.3614,                0.24767,                0.20948,                0.08481,                0.34678,                0.23407,                 0.1923,                0.07248,                  2.118,                 3.0404,                  2.561,                 1.6448,             0.00069279,             0.00069279,             0.00069279
                      8,                 1.5069,                 2.2957,                 1.3429,                 1.1899,                 0.3323,                0.21976,                0.17536,                0.07588,                0.31462,                 0.2126,                0.16208,                0.06408,                 2.0854,                 2.9221,                  2.844,                 1.6325,             0.00068926,             0.00068926,             0.00068926
                      9,                 1.4893,                 2.2844,                 1.2907,                 1.1945,                0.41794,                0.26127,                0.23664,                0.09783,                0.38961,                0.25984,                0.22452,                 0.0811,                 2.0589,                 2.8947,                 2.4269,                 1.6201,             0.00068573,             0.00068573,             0.00068573
                     10,                 1.4544,                 2.2241,                 1.2994,                  1.192,                0.40892,                0.27484,                0.23515,                0.09609,                0.41705,                0.27344,                0.23551,                0.08417,                 2.0553,                 2.9431,                 3.6957,                 1.6296,             0.00068219,             0.00068219,             0.00068219
                     11,                 1.4027,                  2.067,                 1.1855,                  1.176,                0.39011,                0.24624,                0.22184,                0.09291,                0.38785,                0.24481,                0.21718,                0.07835,                 2.0625,                 2.9432,                 2.7047,                 1.6283,             0.00067866,             0.00067866,             0.00067866
                     12,                 1.3878,                 2.0955,                 1.2097,                 1.1642,                0.43975,                0.26056,                0.24728,                0.10672,                0.41882,                0.25268,                0.23516,                0.09224,                 2.0558,                 2.9263,                 2.4136,                 1.6269,             0.00067512,             0.00067512,             0.00067512
                     13,                 1.3681,                  2.089,                 1.1588,                 1.1537,                0.39622,                0.27273,                0.24916,                0.10429,                0.37147,                0.27344,                0.24214,                0.08665,                 1.9809,                 2.8673,                 2.4222,                  1.568,             0.00067159,             0.00067159,             0.00067159
                     14,                 1.3349,                  2.051,                 1.1323,                 1.1305,                0.42723,                 0.2849,                0.27381,                0.11642,                0.49612,                0.26342,                0.26797,                0.10279,                 1.9703,                 2.7812,                 2.9093,                  1.587,             0.00066805,             0.00066805,             0.00066805
                     15,                 1.3242,                 2.0163,                  1.192,                 1.1631,                0.43853,                0.27917,                0.26284,                0.11007,                0.40626,                0.28633,                0.24906,                0.09749,                  2.045,                 2.9077,                  2.369,                 1.5689,             0.00066452,             0.00066452,             0.00066452
                     16,                 1.2893,                 1.9772,                 1.0936,                 1.1385,                0.44247,                0.31281,                0.27933,                 0.1123,                0.43519,                0.30136,                0.26216,                0.09697,                   1.97,                 2.8831,                 2.5492,                 1.5783,             0.00066099,             0.00066099,             0.00066099
                     17,                 1.2132,                 1.8751,                 1.0248,                 1.0894,                0.48415,                0.27813,                0.27147,                0.11234,                0.47972,                0.27559,                0.26081,                0.10098,                 2.0112,                 2.8765,                 2.9738,                 1.6118,             0.00065745,             0.00065745,             0.00065745
                     18,                 1.2452,                  1.895,                 1.0515,                 1.1075,                0.47016,                0.30852,                0.30999,                0.13222,                0.49677,                0.28991,                0.29627,                0.11277,                 1.9687,                 2.6564,                 2.4764,                  1.533,             0.00065392,             0.00065392,             0.00065392
                     19,                 1.2552,                 1.9211,                 1.0657,                 1.1139,                0.45223,                0.30637,                0.29806,                0.12575,                0.46212,                0.30923,                0.30425,                 0.1128,                 1.9726,                 2.7794,                 2.5104,                 1.5802,             0.00065038,             0.00065038,             0.00065038
                     20,                 1.2156,                 1.8271,                0.99591,                 1.0873,                0.45621,                 0.3078,                0.30243,                0.13004,                0.44044,                0.31424,                0.30083,                0.11592,                 1.9236,                 2.7369,                 3.4285,                 1.5353,             0.00064685,             0.00064685,             0.00064685
                     21,                 1.2122,                  1.917,                  1.049,                  1.101,                0.43317,                0.29649,                0.29794,                0.12817,                0.44195,                0.29648,                0.28942,                0.11464,                 1.9638,                 2.8015,                 2.4024,                 1.5767,             0.00064331,             0.00064331,             0.00064331
                     22,                 1.2285,                 1.8487,                  1.022,                 1.1094,                0.48705,                0.29492,                0.29847,                0.12596,                0.47051,                0.29778,                 0.2783,                0.10368,                 1.8963,                 2.7222,                 2.5741,                  1.547,             0.00063978,             0.00063978,             0.00063978
                     23,                 1.1786,                 1.8033,                0.97617,                 1.1075,                0.45768,                0.28876,                0.28548,                0.12013,                 0.4565,                0.28991,                 0.2798,                0.10366,                 1.9487,                 2.7078,                 2.5121,                 1.5925,             0.00063625,             0.00063625,             0.00063625
                     24,                 1.1656,                 1.7962,                0.98385,                 1.0821,                0.46368,                 0.3121,                0.31674,                 0.1408,                0.46448,                0.30565,                0.30633,                0.12176,                 1.8795,                 2.6933,                 2.2995,                 1.5268,             0.00063271,             0.00063271,             0.00063271
                     25,                 1.1704,                 1.8388,                0.97564,                 1.0961,                0.45409,                 0.3245,                0.31011,                0.13307,                0.45856,                0.30918,                0.30222,                0.11409,                 1.9118,                 2.7333,                 2.6639,                 1.5597,             0.00062918,             0.00062918,             0.00062918
                     26,                 1.1501,                 1.7759,                0.98095,                 1.0884,                0.48057,                0.30465,                 0.3253,                0.14218,                0.48396,                0.30679,                0.31366,                0.12697,                 1.9195,                 2.6411,                 2.3817,                 1.5436,             0.00062564,             0.00062564,             0.00062564
                     27,                  1.138,                 1.7605,                0.96628,                 1.0923,                0.50242,                0.30351,                0.32585,                0.14612,                0.50005,                0.30208,                0.31408,                0.12677,                 1.8977,                 2.6298,                 2.3482,                 1.5201,             0.00062211,             0.00062211,             0.00062211
                     28,                  1.127,                 1.7514,                0.96203,                 1.0729,                0.46988,                0.35791,                0.34594,                0.15029,                0.46682,                0.35075,                0.33558,                0.12654,                 1.8562,                  2.682,                 2.5643,                 1.5094,             0.00061857,             0.00061857,             0.00061857
                     29,                 1.0844,                 1.6893,                0.92236,                 1.0489,                0.47377,                0.34574,                0.32616,                0.14032,                0.48601,                0.33429,                0.32659,                0.12943,                 1.8888,                 2.6903,                 2.4023,                 1.5272,             0.00061504,             0.00061504,             0.00061504
                     30,                 1.1139,                 1.7273,                0.90571,                 1.0745,                0.45754,                0.33268,                0.32043,                0.14316,                0.47546,                0.30923,                0.30696,                0.12078,                 1.9154,                 2.7173,                 2.5078,                  1.544,             0.00061151,             0.00061151,             0.00061151
                     31,                 1.1409,                 1.7688,                 0.9787,                 1.1001,                0.48452,                0.34001,                0.35162,                0.15775,                0.50236,                0.32589,                0.33651,                0.13919,                 1.8714,                   2.64,                 2.1783,                 1.4984,             0.00060797,             0.00060797,             0.00060797
                     32,                 1.1347,                 1.7291,                0.92915,                 1.0719,                0.46987,                0.33214,                0.32085,                0.14818,                0.47294,                 0.3393,                  0.323,                0.13057,                 1.8766,                 2.6047,                 2.3252,                 1.5232,             0.00060444,             0.00060444,             0.00060444
                     33,                 1.0766,                  1.701,                 0.9084,                 1.0592,                0.43417,                0.34288,                0.33131,                0.14771,                0.42919,                0.33429,                0.31712,                0.12792,                 1.9114,                 2.6904,                 2.2461,                 1.5129,              0.0006009,              0.0006009,              0.0006009
                     34,                 1.0663,                 1.6236,                0.88631,                 1.0488,                0.49022,                0.35218,                0.35276,                0.15801,                0.52715,                0.33517,                0.34399,                0.13978,                 1.8776,                 2.6437,                 2.1608,                 1.5013,             0.00059737,             0.00059737,             0.00059737
                     35,                 1.0864,                 1.6949,                0.92386,                 1.0777,                0.51869,                0.32014,                0.34825,                0.15409,                0.51272,                0.31484,                0.33194,                0.13355,                 1.8554,                 2.6132,                 2.3195,                 1.4977,             0.00059383,             0.00059383,             0.00059383
                     36,                 1.0988,                 1.6928,                0.94876,                 1.0696,                 0.4549,                0.33153,                0.33012,                0.14543,                0.46987,                0.33071,                0.33594,                0.13316,                 1.8958,                 2.6204,                 2.2111,                 1.5101,              0.0005903,              0.0005903,              0.0005903
                     37,                 1.0564,                 1.5904,                0.88708,                 1.0523,                0.46213,                0.36793,                0.35096,                 0.1541,                0.46569,                 0.3622,                0.34523,                0.13657,                 1.8393,                 2.6745,                  2.846,                 1.4932,             0.00058677,             0.00058677,             0.00058677
                     38,                 1.0392,                 1.6046,                0.85943,                 1.0393,                0.51974,                0.34574,                0.36885,                0.16111,                0.51436,                0.34216,                0.35534,                0.14002,                 1.8658,                 2.6243,                 2.4661,                 1.4785,             0.00058323,             0.00058323,             0.00058323
                     39,                 1.0859,                 1.6268,                0.90177,                 1.0646,                0.48664,                 0.3801,                0.36781,                0.16313,                0.49031,                0.37597,                0.36466,                0.14241,                 1.8946,                 2.5806,                 2.2996,                 1.4985,              0.0005797,              0.0005797,              0.0005797
                     40,                 1.0931,                 1.7108,                 0.9199,                 1.0661,                0.45573,                0.35218,                0.34659,                0.15805,                0.47124,                0.34359,                0.33433,                0.13969,                  1.887,                 2.6944,                  2.364,                 1.4841,             0.00057616,             0.00057616,             0.00057616
                     41,                 1.0841,                 1.6406,                 0.8841,                  1.062,                0.44551,                0.37437,                0.35596,                0.15442,                  0.468,                0.36292,                0.34104,                0.12909,                 1.8701,                  2.659,                 3.2445,                 1.4944,             0.00057263,             0.00057263,             0.00057263
                     42,                 1.0332,                 1.5757,                0.86363,                 1.0294,                0.47697,                0.38726,                0.37793,                0.16854,                  0.489,                0.35934,                0.36241,                 0.1464,                 1.8282,                   2.57,                 2.3281,                 1.4535,             0.00056909,             0.00056909,             0.00056909
                     43,                 1.0419,                 1.6352,                 0.8738,                 1.0558,                0.48589,                0.36722,                 0.3662,                0.16661,                0.51017,                 0.3529,                 0.3642,                0.15106,                 1.7832,                  2.603,                 2.3155,                 1.4709,             0.00056556,             0.00056556,             0.00056556
                     44,                 1.0248,                 1.5606,                0.85651,                 1.0263,                0.48227,                0.37223,                0.36603,                0.16354,                0.51644,                0.35863,                0.36229,                0.14153,                 1.8514,                 2.6281,                 2.2983,                 1.4949,             0.00056203,             0.00056203,             0.00056203
                     45,                 1.0304,                 1.6062,                0.87522,                 1.0588,                0.49555,                0.36988,                0.35887,                0.15642,                0.47666,                0.37437,                0.35108,                 0.1376,                 1.8647,                 2.6295,                 2.5079,                 1.5024,             0.00055849,             0.00055849,             0.00055849
                     46,                 1.0596,                 1.5899,                0.88301,                 1.0514,                0.50897,                0.38941,                0.38907,                0.17127,                0.50307,                0.38368,                0.37358,                0.15196,                 1.8666,                  2.561,                 2.2725,                 1.4804,             0.00055496,             0.00055496,             0.00055496
                     47,                 1.0295,                 1.5628,                0.84376,                 1.0392,                0.52307,                0.37134,                0.37961,                0.16975,                0.52408,                0.37206,                0.37175,                 0.1471,                 1.8672,                 2.6026,                 2.3912,                 1.4681,             0.00055142,             0.00055142,             0.00055142
                     48,                   1.03,                 1.5368,                0.86084,                 1.0423,                0.51427,                 0.3665,                0.36934,                0.16616,                0.51438,                0.36006,                 0.3684,                0.15707,                 1.8553,                 2.6021,                 2.0991,                  1.486,             0.00054789,             0.00054789,             0.00054789
                     49,                0.99278,                 1.5255,                0.80475,                 1.0153,                0.51463,                0.34145,                0.36427,                0.16011,                0.51177,                0.31997,                0.33809,                0.13389,                 1.8973,                 2.6534,                 2.1056,                 1.4972,             0.00054435,             0.00054435,             0.00054435
                     50,                 1.0301,                 1.5369,                 0.8418,                 1.0487,                0.52888,                0.35863,                0.38241,                0.17179,                0.53583,                0.36292,                0.38304,                0.15157,                 1.8454,                   2.56,                 2.7153,                 1.4956,             0.00054082,             0.00054082,             0.00054082
                     51,                 1.0356,                 1.5273,                0.83201,                 1.0383,                0.51733,                0.37294,                0.38978,                0.17622,                0.51965,                0.37079,                0.38319,                0.15781,                 1.8335,                 2.5531,                 2.1523,                 1.4601,             0.00053728,             0.00053728,             0.00053728
                     52,                 1.0194,                 1.6343,                0.84167,                 1.0444,                0.51038,                0.35071,                0.36946,                0.17075,                0.50058,                0.34368,                0.36092,                0.15005,                 1.8454,                 2.5779,                 2.0902,                 1.4662,             0.00053375,             0.00053375,             0.00053375
                     53,                0.99733,                 1.5288,                0.85315,                 1.0305,                0.48142,                 0.3914,                0.37449,                0.16973,                0.49132,                0.37581,                0.36497,                0.14656,                 1.8284,                 2.5953,                 2.6745,                 1.4664,             0.00053022,             0.00053022,             0.00053022
                     54,                 0.9837,                 1.5466,                0.81441,                  1.016,                0.52833,                 0.3529,                0.36458,                0.16481,                0.54537,                0.35635,                0.37087,                0.14656,                 1.8583,                 2.5666,                 2.2132,                   1.47,             0.00052668,             0.00052668,             0.00052668
                     55,                0.99367,                 1.5147,                0.81977,                 1.0287,                0.52594,                0.36865,                0.38657,                0.17747,                0.54996,                0.35147,                0.36798,                0.14936,                 1.8321,                 2.5787,                 2.3824,                 1.4502,             0.00052315,             0.00052315,             0.00052315
                     56,                0.93469,                 1.4244,                0.75939,                0.99447,                0.49735,                0.38743,                0.38161,                0.17198,                0.52323,                0.35822,                0.37648,                0.15273,                 1.8514,                 2.5958,                  2.168,                 1.4751,             0.00051961,             0.00051961,             0.00051961
                     57,                0.96321,                 1.4644,                 0.7874,                  1.025,                0.47282,                0.38153,                0.37357,                  0.166,                0.45102,                0.37867,                0.35285,                0.14021,                 1.8586,                 2.5861,                 2.3368,                 1.4951,             0.00051608,             0.00051608,             0.00051608
                     58,                0.96069,                  1.453,                 0.7906,                  1.017,                0.52697,                0.37652,                0.38546,                0.16913,                0.50994,                0.36435,                0.36038,                0.14981,                 1.8097,                 2.6048,                 2.4075,                 1.4522,             0.00051254,             0.00051254,             0.00051254
                     59,                0.97077,                 1.4948,                0.80314,                 1.0079,                0.49685,                0.37795,                 0.3821,                 0.1742,                0.50583,                0.37294,                0.37701,                0.15377,                 1.8282,                 2.5732,                 2.4118,                 1.4609,             0.00050901,             0.00050901,             0.00050901
                     60,                0.97317,                 1.4898,                0.78999,                  1.025,                0.51962,                0.37008,                0.38221,                0.16782,                0.52556,                0.34811,                0.36528,                 0.1442,                 1.8304,                 2.5956,                   2.24,                 1.4557,             0.00050548,             0.00050548,             0.00050548
                     61,                0.96403,                 1.4793,                0.81657,                 1.0195,                 0.5304,                0.37353,                0.39789,                0.17611,                0.56621,                0.37437,                0.40093,                0.15831,                 1.8476,                  2.548,                 2.3336,                 1.4597,             0.00050194,             0.00050194,             0.00050194
                     62,                0.93786,                 1.4761,                0.78602,                 1.0044,                0.48989,                0.38941,                0.39514,                0.17565,                 0.4987,                0.38296,                0.39189,                0.15876,                  1.836,                 2.5391,                 2.2402,                 1.4493,             0.00049841,             0.00049841,             0.00049841
                     63,                0.95918,                 1.4477,                0.77237,                 1.0201,                0.48481,                0.40229,                0.39717,                0.17037,                0.49022,                0.38726,                0.38431,                0.14954,                 1.8735,                 2.5914,                 2.3195,                 1.4853,             0.00049487,             0.00049487,             0.00049487
                     64,                 0.9579,                 1.4607,                0.78455,                 1.0162,                0.53181,                0.37509,                0.38776,                0.17742,                   0.53,                0.36936,                0.37879,                0.15655,                 1.8401,                 2.5326,                 2.0542,                  1.474,             0.00049134,             0.00049134,             0.00049134
                     65,                0.91323,                 1.4121,                0.74536,                 1.0023,                 0.5242,                0.38583,                0.39669,                0.17479,                0.52965,                0.37581,                 0.3746,                0.15271,                 1.8811,                 2.5838,                 2.3432,                 1.4954,              0.0004878,              0.0004878,              0.0004878
