                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0808,                 3.0583,                  4.154,                 1.3455,                0.00309,                0.28633,                0.01671,                0.00596,                0.00209,                0.39871,                0.00994,                0.00415,                 2.1722,                 3.6209,                 8.6949,                 1.7681,             0.00023557,             0.00023557,             0.00023557
                      2,                  1.923,                 2.7641,                 2.3828,                 1.3281,                0.32948,                0.19135,                 0.1486,                0.05934,                0.30075,                0.17466,                0.12673,                0.04324,                  2.476,                  4.187,                 5.0745,                   1.86,             0.00046419,             0.00046419,             0.00046419
                      3,                 1.8856,                  2.677,                 1.9625,                 1.3079,                0.16228,                0.10952,                0.06707,                0.02482,                0.16048,                0.10308,                0.05961,                0.02069,                 2.5349,                 4.3577,                 4.0815,                 1.8894,             0.00068339,             0.00068339,             0.00068339
                      4,                 1.8916,                 2.6921,                 1.8552,                  1.322,                0.36208,                0.23622,                0.20869,                0.08157,                0.34391,                0.23564,                0.20498,                0.07656,                 2.3634,                 3.4759,                 3.4523,                 1.9486,             0.00067159,             0.00067159,             0.00067159
                      5,                  1.801,                 2.5421,                 1.6693,                 1.2861,                0.28056,                0.20434,                0.15337,                0.05673,                0.24763,                0.22476,                0.14562,                0.05289,                 2.3355,                 3.3578,                 3.2387,                 1.8192,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.7246,                 2.4416,                 1.5529,                 1.2406,                0.37928,                0.27058,                0.24491,                0.09773,                0.37736,                 0.2713,                0.23184,                0.08653,                 2.2383,                 3.1269,                 2.7379,                 1.7938,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.6224,                 2.3739,                 1.3953,                 1.1927,                0.43297,                 0.2713,                0.25171,                0.10211,                0.39353,                0.27917,                 0.2329,                0.08393,                 2.1916,                 3.2149,                 2.3824,                 1.7491,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.5879,                 2.2967,                 1.3418,                  1.201,                0.35961,                0.27058,                0.22933,                0.08998,                0.36931,                0.24409,                 0.2132,                0.07411,                 2.2575,                 3.2476,                 3.3556,                 1.7834,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.5508,                 2.3461,                 1.3308,                 1.1994,                0.41244,                0.28138,                0.25808,                0.10227,                0.40822,                0.27273,                0.24732,                0.08768,                 2.1744,                 2.9697,                 3.1496,                 1.7073,              0.0006009,              0.0006009,              0.0006009
                     10,                 1.5185,                 2.2133,                 1.2958,                 1.1653,                0.47634,                 0.2577,                0.26548,                 0.1085,                0.47921,                0.24767,                 0.2604,                0.09681,                  2.097,                 2.9472,                 2.7567,                 1.6452,             0.00058677,             0.00058677,             0.00058677
