                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.12,                 3.2817,                 4.9334,                 1.3605,                 0.0027,                0.51467,                0.00214,                0.00089,                0.00254,                0.48461,                0.00198,                0.00075,                 2.0812,                 3.5886,                 5.3728,                 1.5631,             0.00023314,             0.00023314,             0.00023314
                      2,                 2.0031,                 2.8427,                 2.9359,                 1.3157,                0.43004,                0.02161,                0.05737,                0.02055,                0.41579,                0.02089,                0.05134,                0.01772,                  2.377,                 5.1292,                 4.0008,                 1.7122,             0.00046181,             0.00046181,             0.00046181
                      3,                  2.074,                 2.8466,                 2.5377,                 1.3481,                0.00099,                0.18826,                 0.0006,                0.00024,                0.00073,                0.13958,                0.00043,                0.00016,                 3.2519,                 298.41,                    inf,                 7.2757,             0.00068106,             0.00068106,             0.00068106
                      4,                  2.055,                 2.8574,                 2.2437,                 1.3516,                0.29848,                  0.199,                0.15245,                0.05564,                0.26798,                0.20115,                0.13857,                0.05026,                 2.4334,                 4.1004,                 3.4324,                 1.9045,             0.00067159,             0.00067159,             0.00067159
                      5,                 2.0176,                 2.7683,                 2.0308,                 1.3234,                0.32632,                 0.2083,                0.17265,                 0.0628,                0.32538,                0.20115,                0.16326,                0.05459,                 2.4173,                 4.2206,                 2.7975,                 1.8361,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.9239,                 2.6591,                 1.8585,                 1.2967,                0.26937,                0.20258,                0.13633,                0.05561,                0.25151,                0.21546,                0.13356,                0.05045,                 2.2009,                 3.2609,                 3.3516,                 1.7504,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.8025,                 2.5086,                 1.6887,                 1.2451,                 0.3555,                 0.2849,                0.24213,                 0.0996,                0.34389,                0.27559,                0.22706,                0.08738,                 2.1857,                 3.2026,                  2.374,                 1.6469,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.7453,                 2.4728,                 1.6139,                 1.2384,                0.35667,                0.21976,                0.18827,                0.07668,                0.35607,                0.21493,                0.17515,                0.06283,                 2.2894,                 3.4954,                 2.4813,                  1.728,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.7474,                 2.4588,                 1.5343,                 1.2347,                0.37554,                0.27594,                0.24129,                0.09796,                0.36682,                0.26843,                0.22647,                0.08786,                 2.1932,                  3.245,                 2.4152,                 1.6849,              0.0006009,              0.0006009,              0.0006009
                     10,                 1.7231,                 2.4197,                 1.5069,                 1.2088,                0.33227,                0.27747,                0.22103,                0.09651,                0.32359,                0.26557,                0.20145,                0.07816,                 2.2065,                 3.2534,                 2.2819,                 1.6653,             0.00058677,             0.00058677,             0.00058677
